Stock Name,Symbol,Price
Vodafone Idea Ltd,IDEA,10.29
Yes Bank Limited,YESBANK,20.18
Suzlon Energy Limited,SUZLON,40.95
IDFC First Bank Ltd,IDFCFIRSTB,71.78
Nhpc Limited,NHPC,73.14
Nmdc Limited,NMDC,81.26
Inox Wind Limited,INOXWIND,89.19
Nbcc (india) Limited,NBCC,89.36
GMR Airports Ltd,GMRAIRPORT,96.49
Indian Railway Finance Corporation Ltd,IRFC,99.34
Indian Renewable Energy Development Agency Ltd,IREDA,115.93
Indian Energy Exchange Ltd,IEX,121.52
Punjab National Bank Ltd,PNB,126.05
Samvardhana Motherson International Ltd,MOTHERSON,128.65
Sammaan Capital Ltd,SAMMAANCAP,145.96
Piramal Pharma Ltd,PPLPHARMA,152.81
Canara Bank Ltd,CANBK,153.56
Gail (india) Limited,GAIL,165.07
Steel Authority Of India Limited,SAIL,165.59
Bank Of India Ltd,BANKINDIA,172.30
Bandhan Bank Ltd,BANDHANBNK,177.66
Indian Oil Corporation Limited,IOC,179.11
Housing and Urban Development Corporation Ltd,HUDCO,181.74
Union Bank Of India Ltd,UNIONBANK,198.13
Wipro Limited,WIPRO,198.57
Ashok Leyland Limited,ASHOKLEY,209.01
Tata Steel Limited,TATASTEEL,211.01
Angel One Ltd,ANGELONE,226.32
Eternal Ltd,ETERNAL,242.87
Jio Financial Services Ltd,JIOFIN,249.00
Crompton Greaves Consumer Electricals Limited,CROMPTON,253.45
FSN E-Commerce Ventures Ltd,NYKAA,259.10
Bharat Heavy Electricals Limited,BHEL,262.15
L&T Finance Ltd,LTF,275.80
Manappuram Finance Limited,MANAPPURAM,282.00
Oil & Natural Gas Corporation Limited,ONGC,282.20
Swiggy Ltd,SWIGGY,289.00
The Federal Bank  Limited,FEDERALBNK,294.95
Power Grid Corporation Of India Limited,POWERGRID,296.80
Rail Vikas Nigam Ltd,RVNL,299.45
Petronet Lng Limited,PETRONET,308.65
Rbl Bank Limited,RBLBANK,313.15
Itc Limited,ITC,314.90
Bank Of Baroda Ltd,BANKBARODA,315.20
Exide Industries Limited,EXIDEIND,322.80
Aditya Birla Capital Ltd,ABCAPITAL,338.10
REC Ltd,RECLTD,338.95
National Aluminium Company Limited,NATIONALUM,362.85
Tata Power Company Limited,TATAPOWER,368.35
Tata Motors Passenger Vehicles Ltd,TMPV,370.60
Bharat Petroleum Corporation Limited,BPCL,374.80
Ntpc Limited,NTPC,377.55
Biocon Limited,BIOCON,387.95
Kalyan Jewellers India Ltd,KALYANKJIL,401.75
Power Finance Corporation Limited,PFC,406.20
Syngene International Limited,SYNGENE,412.25
Kotak Mahindra Bank Limited,KOTAKBANK,413.10
Hindustan Petroleum Corporation Limited,HINDPETRO,424.50
Coal India Limited,COALINDIA,426.25
Delhivery Ltd,DELHIVERY,427.90
Varun Beverages Limited,VBL,445.30
Indus Towers Ltd (Bharti Infratel),INDUSTOWER,448.55
Bharat Electronics Limited,BEL,453.95
Container Corporation Of India Limited,CONCOR,479.00
Jsw Energy Limited,JSWENERGY,481.30
Oil India Limited,OIL,488.05
Ambuja Cements Limited,AMBUJACEM,490.75
Patanjali Foods Ltd,PATANJALI,502.80
Jubilant Foodworks Limited,JUBLFOOD,505.65
Dabur India Limited,DABUR,507.60
Sona BLW Precision Forgings Ltd,SONACOMS,517.25
Lic Housing Finance Limited,LICHSGFIN,527.95
Indian Railway Catering & Tourism Corporation Ltd,IRCTC,568.95
Tata Technologies Ltd,TATATECH,580.40
Dlf Limited,DLF,590.20
Pg Electroplast Limited,PGEL,617.30
Hindustan Zinc Limited,HINDZINC,617.65
Upl Limited,UPL,622.85
The Indian Hotels Company Limited,INDHOTEL,651.00
Computer Age Management Services Ltd,CAMS,651.30
Icici Prudential Life Insurance Company Limited,ICICIPRULI,653.55
HDFC Life Insurance Company Ltd,HDFCLIFE,707.30
CG Power and Industrial Solutions Ltd,CGPOWER,711.85
Premier Energies Ltd,PREMIERENE,712.85
Vedanta Limited,VEDL,723.35
SBI Cards & Payment Services Ltd,SBICARD,746.50
KPIT Technologies Ltd,KPITTECH,754.25
Marico Limited,MARICO,779.15
Pnb Housing Finance Limited,PNBHOUSING,813.30
Life Insurance Corporation of India Ltd,LICI,841.95
Hdfc Bank Limited,HDFCBANK,879.40
Adani Green Energy Ltd,ADANIGREEN,903.55
Zydus Lifesciences Ltd,ZYDUSLIFE,906.90
Fortis Healthcare Limited,FORTIS,932.50
KFin Technologies Ltd,KFINTECH,936.00
Hindalco Industries Limited,HINDALCO,940.00
Indusind Bank Limited,INDUSINDBK,942.50
AU Small Finance Bank Ltd,AUBANK,951.25
Lodha Developers Ltd,LODHA,966.20
Adani Energy Solutions Ltd,ADANIENSOL,972.30
Indian Bank Ltd,INDIANB,976.65
Bajaj Finance Limited,BAJFINANCE,978.25
Info Edge (india) Limited,NAUKRI,998.50
Shriram Finance Ltd,SHRIRAMFIN,1052.50
One 97 Communications Ltd,PAYTM,1059.40
Laurus Labs Limited,LAURUSLABS,1065.00
360 ONE WAM Ltd,360ONE,1074.70
Max Healthcare Institute Ltd,MAXHEALTH,1083.60
TATA Consumer Products Ltd,TATACONSUM,1125.20
